name,ID,grade
Hertha Risko,1881026033,81
Hertha Risko,1881026033,70
Hertha Risko,1881026033,26
Shay Eisley,1645729714,84
Shay Eisley,1645729714,37
Luciana Reddic,1557215128,99
Luciana Reddic,1557215128,70
Luciana Reddic,1557215128,48
Luciana Reddic,1557215128,93
Eleni Boncella,1353801288,50
Eleni Boncella,1353801288,10
Eleni Boncella,1353801288,39
Erlene Vandivort,1539421622,48
Erlene Vandivort,1539421622,74
Shona Nealey,1561387100,12
Shona Nealey,1561387100,15
Shona Nealey,1561387100,81
Shona Nealey,1561387100,93
Thelma Morenco,1313523560,88
Thelma Morenco,1313523560,44
Thelma Morenco,1313523560,9
Thelma Morenco,1313523560,57
Kacie Cheers,1851282336,7
Kacie Cheers,1851282336,69
Loan Juniel,1908958037,66
Loan Juniel,1908958037,88
Elenora Rapkin,1201778512,91
Elenora Rapkin,1201778512,66
Elenora Rapkin,1201778512,17
Elenora Rapkin,1201778512,39
Dolores Niemitzio,1840063184,2
Dolores Niemitzio,1840063184,76
Dolores Niemitzio,1840063184,66
Dolores Niemitzio,1840063184,91
Sherril Meshell,1350828827,11
Sherril Meshell,1350828827,53
Sherril Meshell,1350828827,10
Jodi Artz,1887121471,69
Jodi Artz,1887121471,64
Jodi Artz,1887121471,6
Jodi Artz,1887121471,78
Cornell Ruskin,1320876948,25
Cornell Ruskin,1320876948,67
Iliana Pennant,1549529752,77
Iliana Pennant,1549529752,47
Kami Wittliff,1685927916,98
Kami Wittliff,1685927916,83
Nena Quiett,1504996172,69
Nena Quiett,1504996172,50
Christia Pruden,1459774220,57
Christia Pruden,1459774220,61
Christia Pruden,1459774220,89
Gerry Schwoyer,1599914569,25
Gerry Schwoyer,1599914569,9
Gerry Schwoyer,1599914569,57
Marc Kimel,1488954251,64
Marc Kimel,1488954251,95
Melonie Angocicco,1862613096,12
Melonie Angocicco,1862613096,20
Melonie Angocicco,1862613096,54
Melonie Angocicco,1862613096,13
Cruz Jastrebski,1929472708,93
Cruz Jastrebski,1929472708,5
Cruz Jastrebski,1929472708,92
Cruz Jastrebski,1929472708,68
Pamella Kebalka,1591460724,29
Pamella Kebalka,1591460724,43
Pamella Kebalka,1591460724,34
Pamella Kebalka,1591460724,81
Jonas Griffes,1481458816,71
Jonas Griffes,1481458816,40
Cory Lado,1775509314,36
Cory Lado,1775509314,60
Torrie Hillsman,1167272865,9
Torrie Hillsman,1167272865,92
Santana Jumonville,1730005428,24
Santana Jumonville,1730005428,95
Santana Jumonville,1730005428,26
Santana Jumonville,1730005428,87
Thuy Chukri,1917622787,10
Thuy Chukri,1917622787,75
Thuy Chukri,1917622787,0
Justin Pichoff,1356645765,1
Justin Pichoff,1356645765,93
Erin Skoien,1842213120,79
Erin Skoien,1842213120,8
Joya Oliveras,1340089048,15
Joya Oliveras,1340089048,24
Joya Oliveras,1340089048,44
Crysta Gagliardi,1031684520,61
Crysta Gagliardi,1031684520,89
Crysta Gagliardi,1031684520,79
Crysta Gagliardi,1031684520,6
Vikki Mangini,1903461258,10
Vikki Mangini,1903461258,31
Shane Schnarr,1529194109,57
Shane Schnarr,1529194109,7
Shane Schnarr,1529194109,54
Janina Griffo,1417901808,69
Janina Griffo,1417901808,68
Janina Griffo,1417901808,50
Madlyn Savedra,1419428994,90
Madlyn Savedra,1419428994,26
Madlyn Savedra,1419428994,93
Babara Pennigton,1656697089,8
Babara Pennigton,1656697089,79
Babara Pennigton,1656697089,93
Babara Pennigton,1656697089,75
Song Nagele,1654341134,35
Song Nagele,1654341134,66
Song Nagele,1654341134,47
Song Nagele,1654341134,65
Clarence Estacion,1365151503,41
Clarence Estacion,1365151503,37
Odelia Spraker,1847925175,75
Odelia Spraker,1847925175,44
Odelia Spraker,1847925175,45
Theodore Juergens,1413701678,11
Theodore Juergens,1413701678,29
Theodore Juergens,1413701678,7
Terry Soho,1901954603,82
Terry Soho,1901954603,91
Terry Soho,1901954603,24
Ellis Milbourne,1610538940,80
Ellis Milbourne,1610538940,70
Ellis Milbourne,1610538940,23
Jamar Iturralde,1872060938,51
Jamar Iturralde,1872060938,28
Sammie Shelor,1422707639,91
Sammie Shelor,1422707639,87
Sammie Shelor,1422707639,93
Sammie Shelor,1422707639,37
Milton Swearngin,1229631053,45
Milton Swearngin,1229631053,46
Milton Swearngin,1229631053,86
Milton Swearngin,1229631053,57
Arvilla Calicut,1194470720,30
Arvilla Calicut,1194470720,92
Arvilla Calicut,1194470720,91
Delora Aleyandrez,1485720557,30
Delora Aleyandrez,1485720557,94
Delora Aleyandrez,1485720557,7
Arlinda Mitman,1289039587,38
Arlinda Mitman,1289039587,32
Arlinda Mitman,1289039587,11
Arlinda Mitman,1289039587,34
Zella Witkowsky,1058641965,41
Zella Witkowsky,1058641965,32
Marya Confrey,1803353325,0
Marya Confrey,1803353325,6
Marya Confrey,1803353325,67
Nathan Mieth,1486978043,6
Nathan Mieth,1486978043,16
Nathan Mieth,1486978043,52
Ernie Knauer,1258141810,84
Ernie Knauer,1258141810,2
Avery Muthana,1973506582,76
Avery Muthana,1973506582,55
Avery Muthana,1973506582,41
Avery Muthana,1973506582,39
Stefani Nicometo,1830503603,17
Stefani Nicometo,1830503603,42
Stefani Nicometo,1830503603,13
Larue Weiner,1799384690,82
Larue Weiner,1799384690,56
Larue Weiner,1799384690,63
Larue Weiner,1799384690,51
Alycia Sandine,1971403522,44
Alycia Sandine,1971403522,67
Ryann Fonte,1504795671,42
Ryann Fonte,1504795671,10
Jere Niermann,1893015604,50
Jere Niermann,1893015604,77
Jere Niermann,1893015604,46
Haley Maceyak,1467464440,5
Haley Maceyak,1467464440,25
Haley Maceyak,1467464440,84
Haley Maceyak,1467464440,20
Iliana Hilborn,1279861795,12
Iliana Hilborn,1279861795,20
Iliana Hilborn,1279861795,59
Iliana Hilborn,1279861795,69
Andre Glander,1482055449,46
Andre Glander,1482055449,68
Andre Glander,1482055449,40
Andre Glander,1482055449,13
Jody Thorade,1314575107,75
Jody Thorade,1314575107,36
Jody Thorade,1314575107,82
Cher Febre,1707793538,76
Cher Febre,1707793538,18
Andria Sherwood,1502582724,43
Andria Sherwood,1502582724,31
Cicely Tasto,1206029126,54
Cicely Tasto,1206029126,62
Cicely Tasto,1206029126,90
Cicely Tasto,1206029126,88
Lucila Wielgasz,1184532633,25
Lucila Wielgasz,1184532633,20
Sarai Kobayashi,1967347362,60
Sarai Kobayashi,1967347362,79
Arlinda Milliard,1140321637,76
Arlinda Milliard,1140321637,38
Shawna Bugayong,1355824127,5
Shawna Bugayong,1355824127,45
Vaughn Matko,1366523279,63
Vaughn Matko,1366523279,98
Vaughn Matko,1366523279,99
Donn Capone,1923187530,69
Donn Capone,1923187530,95
Donn Capone,1923187530,8
Donn Capone,1923187530,46
Elwood Corry,1779206114,1
Elwood Corry,1779206114,10
Elwood Corry,1779206114,87
Elwood Corry,1779206114,25
Virginia Cujas,1416646879,80
Virginia Cujas,1416646879,77
Rina Lawbaugh,1236376108,13
Rina Lawbaugh,1236376108,0
Torri Poyner,1659668792,21
Torri Poyner,1659668792,36
Torri Poyner,1659668792,34
Torri Poyner,1659668792,51
Fonda Aguino,1954069196,48
Fonda Aguino,1954069196,74
Fonda Aguino,1954069196,82
Richard Larriva,1581739034,55
Richard Larriva,1581739034,68
Richard Larriva,1581739034,98
Cordia Saberi,1598712906,74
Cordia Saberi,1598712906,37
Salvatore Iturralde,1856022085,36
Salvatore Iturralde,1856022085,40
Salvatore Iturralde,1856022085,92
Salvatore Iturralde,1856022085,14
Emma Paradiso,1661934804,46
Emma Paradiso,1661934804,93
Emma Paradiso,1661934804,48
Emma Paradiso,1661934804,18
Shanika Kirson,1326347801,17
Shanika Kirson,1326347801,29
Albertha Calleja,1548493710,7
Albertha Calleja,1548493710,74
Albertha Calleja,1548493710,43
Ella Dundlow,1260146361,61
Ella Dundlow,1260146361,4
Ghislaine Hisey,1915892567,72
Ghislaine Hisey,1915892567,87
Belinda Tinger,1488864503,68
Belinda Tinger,1488864503,99
Belinda Tinger,1488864503,0
Maximo Rasnake,1439851710,58
Maximo Rasnake,1439851710,91
Maximo Rasnake,1439851710,11
Son Sorce,1432960753,60
Son Sorce,1432960753,85
Ardelia Mikes,1458492117,92
Ardelia Mikes,1458492117,70
Candy Feirer,1806026104,6
Candy Feirer,1806026104,41
Myrl Beilstein,1844946056,68
Myrl Beilstein,1844946056,45
Rachel Plantier,1451426401,90
Rachel Plantier,1451426401,40
So Miraglia,1410492463,50
So Miraglia,1410492463,31
So Miraglia,1410492463,50
So Miraglia,1410492463,3
Carmel Cione,1696098304,53
Carmel Cione,1696098304,60
Zoraida Scotty,1036716802,90
Zoraida Scotty,1036716802,55
Gabriel Cajucom,1992835037,67
Gabriel Cajucom,1992835037,53
Gabriel Cajucom,1992835037,92
Leo Ludvigson,1220269265,4
Leo Ludvigson,1220269265,92
Leo Ludvigson,1220269265,13
William Trickett,1267180597,47
William Trickett,1267180597,48
Milagro Kagey,1221904600,4
Milagro Kagey,1221904600,0
Milagro Kagey,1221904600,60
Milagro Kagey,1221904600,25
Rochelle Ijames,1802955787,12
Rochelle Ijames,1802955787,81
Shani Mcpeake,1755122868,60
Shani Mcpeake,1755122868,97
Shani Mcpeake,1755122868,59
Isabell Laundry,1192482491,99
Isabell Laundry,1192482491,50
Isabell Laundry,1192482491,21
Isabell Laundry,1192482491,54
Loise Bastarache,1178550208,22
Loise Bastarache,1178550208,91
Loise Bastarache,1178550208,37
Loise Bastarache,1178550208,26
Hisako Wax,1887672759,25
Hisako Wax,1887672759,63
Hisako Wax,1887672759,62
Hisako Wax,1887672759,7
Hilde Corkum,1141019224,40
Hilde Corkum,1141019224,84
Hilde Corkum,1141019224,49
Jeremy Delallo,1490291232,15
Jeremy Delallo,1490291232,46
Jeremy Delallo,1490291232,94
Sybil Milliken,1474923901,42
Sybil Milliken,1474923901,21
Sybil Milliken,1474923901,66
Pia Dietlin,1538066024,41
Pia Dietlin,1538066024,47
January Bonne,1221428968,20
January Bonne,1221428968,35
Margo Inabinet,1212755049,31
Margo Inabinet,1212755049,74
Margo Inabinet,1212755049,6
Margo Inabinet,1212755049,60
Melissia Ceasor,1456773018,89
Melissia Ceasor,1456773018,44
Melissia Ceasor,1456773018,35
Melissia Ceasor,1456773018,22
Roderick Them,1337404022,3
Roderick Them,1337404022,60
Roderick Them,1337404022,39
Roxane Shumpert,1650991138,53
Roxane Shumpert,1650991138,39
Percy Fietsam,1513257628,98
